Python,Cython,Aceleracion
1.2874603271484375e-05,1.0013580322265625e-05,1.2857142857142858
9.5367431640625e-06,2.86102294921875e-06,3.3333333333333335
9.298324584960938e-06,2.1457672119140625e-06,4.333333333333333
1.1444091796875e-05,2.384185791015625e-06,4.8
6.4373016357421875e-06,1.430511474609375e-06,4.5
9.059906005859375e-06,2.1457672119140625e-06,4.222222222222222
8.821487426757812e-06,2.1457672119140625e-06,4.111111111111111
9.775161743164062e-06,1.9073486328125e-06,5.125
1.0967254638671875e-05,2.384185791015625e-06,4.6
9.298324584960938e-06,2.1457672119140625e-06,4.333333333333333
1.049041748046875e-05,2.384185791015625e-06,4.4
9.5367431640625e-06,2.384185791015625e-06,4.0
9.059906005859375e-06,2.6226043701171875e-06,3.4545454545454546
1.0967254638671875e-05,2.384185791015625e-06,4.6
1.0728836059570312e-05,2.6226043701171875e-06,4.090909090909091
1.5020370483398438e-05,3.814697265625e-06,3.9375
1.0251998901367188e-05,3.337860107421875e-06,3.0714285714285716
1.3589859008789062e-05,3.337860107421875e-06,4.071428571428571
9.5367431640625e-06,2.6226043701171875e-06,3.6363636363636362
1.0013580322265625e-05,2.384185791015625e-06,4.2
9.298324584960938e-06,2.384185791015625e-06,3.9
1.2874603271484375e-05,2.1457672119140625e-06,6.0
9.775161743164062e-06,2.384185791015625e-06,4.1
9.5367431640625e-06,2.6226043701171875e-06,3.6363636363636362
9.5367431640625e-06,3.5762786865234375e-06,2.6666666666666665
9.775161743164062e-06,2.6226043701171875e-06,3.727272727272727
9.775161743164062e-06,2.384185791015625e-06,4.1
9.059906005859375e-06,3.814697265625e-06,2.375
9.5367431640625e-06,3.337860107421875e-06,2.857142857142857
9.775161743164062e-06,2.384185791015625e-06,4.1
