Python,Cython,Aceleracion
1.7404556274414062e-05,4.5299530029296875e-06,3.8421052631578947
1.430511474609375e-05,3.0994415283203125e-06,4.615384615384615
1.239776611328125e-05,2.384185791015625e-06,5.2
1.1444091796875e-05,2.384185791015625e-06,4.8
2.47955322265625e-05,3.5762786865234375e-06,6.933333333333334
2.6226043701171875e-05,5.245208740234375e-06,5.0
2.0742416381835938e-05,3.814697265625e-06,5.4375
2.4318695068359375e-05,4.291534423828125e-06,5.666666666666667
1.2636184692382812e-05,2.384185791015625e-06,5.3
1.1682510375976562e-05,2.1457672119140625e-06,5.444444444444445
2.3126602172851562e-05,3.814697265625e-06,6.0625
2.3603439331054688e-05,4.0531158447265625e-06,5.823529411764706
2.2649765014648438e-05,3.5762786865234375e-06,6.333333333333333
2.1219253540039062e-05,6.198883056640625e-06,3.423076923076923
2.5272369384765625e-05,5.0067901611328125e-06,5.0476190476190474
3.409385681152344e-05,5.0067901611328125e-06,6.809523809523809
3.6716461181640625e-05,4.76837158203125e-06,7.7
3.5762786865234375e-05,4.5299530029296875e-06,7.894736842105263
3.528594970703125e-05,4.76837158203125e-06,7.4
2.3126602172851562e-05,3.5762786865234375e-06,6.466666666666667
1.2159347534179688e-05,2.384185791015625e-06,5.1
3.457069396972656e-05,5.245208740234375e-06,6.590909090909091
3.457069396972656e-05,4.76837158203125e-06,7.25
2.2172927856445312e-05,3.814697265625e-06,5.8125
2.2411346435546875e-05,3.5762786865234375e-06,6.266666666666667
2.2411346435546875e-05,4.76837158203125e-06,4.7
3.0994415283203125e-05,5.0067901611328125e-06,6.190476190476191
3.600120544433594e-05,4.76837158203125e-06,7.55
3.6716461181640625e-05,5.0067901611328125e-06,7.333333333333333
3.457069396972656e-05,4.76837158203125e-06,7.25
